lambda,Aki,fik,Acc,Ei,Ek,Type,
1146.947,4.4e+07,6.5e-03,D+,384.7872,87572.959,,
1147.244,1.1e+07,2.2e-03,D,22810.3459,109975.739,,
1147.409,1.2e+08,2.5e-02,D+,384.7872,87537.646,,
1147.565,6.e+07,9.e-03,E,21430.3564,108571.060,,
1147.832,2.9e+07,9.e-03,D,21812.0454,108932.616,,
1148.067,1.9e+08,3.8e-02,D+,862.6118,87965.137,,
1148.263,3.3e+08,8.e-02,D+,384.7872,87471.789,,
1148.679,9.e+07,2.5e-02,E,20830.5534,107886.868,,
1148.771,5.e+07,8.e-03,E,21581.6151,108631.052,,
1148.813,3.6e+07,1.4e-02,D,22409.8178,109456.381,,
1148.947,1.1e+08,2.9e-02,E,22939.3512,109975.739,,
1148.947,8.e+07,8.e-03,D,862.6118,87898.178,,
1149.482,8.e+06,2.5e-03,D,21812.0454,108807.527,,
1149.581,8.e+07,3.3e-02,D+,977.0498,87965.137,,
1149.617,1.1e+08,3.3e-02,E,23031.2829,110016.915,,
1150.265,8.e+06,1.3e-03,D,21581.6151,108518.643,,
1150.278,4.3e+07,6.e-03,D,667.6829,87602.335,,
1150.463,3.1e+08,6.2e-02,D+,977.0498,87898.178,,
1150.517,6.e+07,9.e-03,E,21711.8963,108629.175,,
1150.677,1.1e+08,2.1e-02,D+,667.6829,87572.959,,
1151.136,2.2e+08,5.9e-02,D+,667.6829,87537.646,,
1152.422,2.3e+07,2.3e-03,D,862.6118,87636.30,,
1152.867,6.6e+07,1.3e-02,D+,862.6118,87602.335,,
1153.037,4.5e+07,1.3e-02,E,21812.0454,108539.473,,
1153.265,1.2e+08,3.7e-02,D+,862.6118,87572.959,,
1153.413,2.1e+07,5.e-03,D,20830.5534,107529.849,,
1153.945,2.7e+07,5.e-03,D,977.0498,87636.30,,
1154.396,4.6e+07,1.8e-02,D,977.0498,87602.335,,
1154.817,1.1e+08,4.3e-02,E,22409.8178,109003.621,,
1155.263,5.e+07,1.0e-02,E,21812.0454,108372.239,,
1157.630,2.5e+08,5.e-02,E,22409.8178,108793.109,,
1157.678,5.e+07,9.e-03,E,21812.0454,108191.894,,
1157.821,6.e+07,2.6e-02,E,22409.8178,108778.889,,
1158.115,2.2e+07,3.0e-03,D,8391.9554,94739.136,,
1158.497,6.e+07,1.7e-02,E,21812.0454,108130.542,,
1159.331,6.1e+07,9.e-03,D+,7955.3186,94211.383,,
1159.986,1.4e+08,3.7e-02,E,20830.5534,107038.375,,
1160.087,3.6e+07,3.6e-03,D,8680.4706,94880.585,,
1160.263,3.2e+07,6.e-03,E,20830.5534,107017.932,,
1162.340,3.3e+07,7.e-03,D,8846.7837,94880.585,,
1162.641,1.0e+08,1.4e-02,E,20830.5534,106841.688,,
1162.881,1.4e+07,2.8e-03,D,22939.3512,108932.616,,
1163.164,3.0e+07,6.e-03,D,23031.2829,109003.621,,
1163.491,6.e+06,9.e-04,D,21581.6151,107529.849,,
1164.470,3.3e+07,5.1e-03,D+,7955.3186,93830.961,,
1164.866,1.0e+08,2.6e-02,E,22637.1950,108483.877,,
1165.235,1.2e+07,2.5e-03,D,8391.9554,94211.383,,
1165.743,2.4e+07,1.0e-02,D,22409.8178,108191.894,,
1166.020,2.6e+08,5.e-02,E,20830.5534,106592.294,,
1166.210,5.e+07,1.1e-02,E,23031.2829,108778.889,,
1166.460,2.2e+07,3.3e-03,D,22810.3459,108539.473,,
1166.739,6.e+07,1.2e-02,E,22810.3459,108518.643,,
1166.963,1.3e+08,3.6e-02,E,22939.3512,108631.052,,
1168.201,1.1e+07,1.8e-03,D,22637.1950,108239.375,,
1168.225,4.4e+07,9.e-03,E,22939.3512,108539.473,,
1168.498,8.e+07,1.7e-02,E,22637.1950,108217.596,,
1170.557,3.2e+07,7.e-03,E,22810.3459,108239.375,,
1170.868,9.e+06,2.3e-03,D,22810.3459,108217.596,,
1172.262,8.e+06,1.2e-03,D,21711.8963,107017.932,,
1172.322,8.e+06,2.3e-03,D,22939.3512,108239.375,,
1173.151,7.e+06,1.4e-03,D,25428.7893,110668.928,,
1173.631,5.e+07,1.5e-02,E,21812.0454,107017.932,,
1173.827,1.1e+07,2.2e-03,D,22939.3512,108130.542,,
1173.920,2.5e+07,5.e-03,D,8846.7837,94031.370,,
1175.143,2.6e+07,7.3e-03,D+,8391.9554,93487.653,,
1175.411,8.e+06,1.6e-03,D,22810.3459,107886.868,,
1175.677,2.2e+07,3.7e-03,D+,1872.5998,86929.664,,
1175.958,1.7e+07,3.4e-03,D,22637.1950,107674.140,,
1176.060,9.e+07,1.9e-02,E,21812.0454,106841.688,,
1176.421,1.1e+07,2.3e-03,D,8391.9554,93395.407,,
1180.107,1.2e+07,3.3e-03,D,8391.9554,93129.879,,
1180.107,1.6e+07,2.7e-03,D,25428.7893,110166.534,,
1180.367,2.3e+07,5.e-03,E,22810.3459,107529.849,,
1180.426,3.4e+07,1.1e-02,D+,8680.4706,93395.407,,
1180.930,7.e+06,1.9e-03,D,25981.6451,110660.690,,
1181.359,1.5e+07,3.2e-03,D,8680.4706,93328.553,,
1183.439,1.2e+07,2.6e-03,D,26170.1810,110668.928,,
1183.601,3.6e+07,6.e-03,E,22810.3459,107298.265,,
1183.601,2.5e+07,5.e-03,E,25981.6451,110469.101,,
1183.688,3.8e+07,1.6e-02,D,8846.7837,93328.553,,
1183.825,4.9e+07,1.3e-02,D+,7955.3186,92426.967,,
1183.889,2.6e+07,8.e-03,D,21812.0454,106279.329,,
1184.387,3.5e+07,1.5e-02,D,22409.8178,106841.688,,
1184.506,1.8e+08,1.9e-02,E,23031.2829,107454.552,,
1184.821,1.1e+08,1.8e-02,E,22637.1950,107038.375,,
1185.410,2.3e+07,5.e-03,D,22939.3512,107298.265,,
1185.710,1.8e+07,2.8e-03,D,2430.1369,86767.614,,
1185.857,7.e+06,1.5e-03,D,7955.3186,92282.470,,
1187.414,1.9e+07,5.0e-03,D+,7955.3186,92171.690,,
1187.498,9.e+06,2.6e-03,D,8391.9554,92602.711,,
1187.541,9.e+07,1.5e-02,E,22810.3459,107017.932,,
1188.966,5.e+06,1.1e-03,D,25805.3270,109912.188,,
1189.722,1.9e+07,5.e-03,E,22637.1950,106690.358,,
1190.560,8.e+07,1.8e-02,E,25981.6451,109975.739,,
1191.021,7.e+07,1.5e-02,E,26055.4120,110016.915,,
1192.026,3.7e+07,1.0e-02,D+,8391.9554,92282.470,,
1192.737,9.e+07,1.6e-02,E,22637.1950,106478.067,,
1194.445,1.7e+07,4.3e-03,E,25428.7893,109149.611,,
1194.656,1.9e+07,2.7e-03,D,2837.9807,86543.902,,
1195.464,1.8e+07,6.e-03,D,8680.4706,92329.905,,
1195.780,6.e+06,1.5e-03,D,26352.7671,109980.635,,
1196.263,1.2e+07,3.8e-03,D,8680.4706,92274.123,,
1196.671,2.1e+07,3.8e-03,D+,21251.5833,104816.702,,
1197.434,1.4e+07,6.e-03,D,8846.7837,92358.625,,
1197.499,3.0e+07,5.3e-03,D+,21430.3564,104937.71,,
1198.051,6.e+07,9.e-03,E,22810.3459,106279.329,,
1198.194,3.6e+07,5.e-03,D,22939.3512,106398.405,,
1198.368,2.5e+07,4.3e-03,D+,21581.6151,105028.537,,
1198.398,5.e+07,6.e-03,D,23031.2829,106476.196,,
1198.924,3.4e+08,7.2e-02,C+,21251.5833,104659.146,,
1199.231,2.8e+08,6.1e-02,D+,21430.3564,104816.702,,
1199.681,2.6e+08,5.5e-02,D+,21581.6151,104937.71,,
1200.477,5.e+06,1.3e-03,D,25428.7893,108729.162,,
1200.889,2.3e+07,2.5e-03,D,3117.4877,86388.786,,
1201.415,1.6e+07,4.1e-03,D+,21581.6151,104816.702,,
1201.506,9.e+06,2.4e-03,D,21430.3564,104659.146,,
1201.548,1.4e+07,3.9e-03,D,21711.8963,104937.71,,
1201.651,8.e+06,1.3e-03,D,26352.7671,109571.639,,
1204.029,1.0e+07,2.1e-03,D,25428.7893,108483.877,,
1204.029,1.1e+07,1.8e-03,D,15844.6485,98898.591,,
1204.755,7.e+06,1.7e-03,D,25805.3270,108809.810,,
1205.118,3.6e+07,9.e-03,E,26170.1810,109149.611,,
1205.533,7.e+06,1.2e-03,D,25981.6451,108932.616,,
1205.994,4.1e+07,1.1e-02,E,26352.7671,109271.932,,
1207.355,5.e+06,9.e-04,D,25805.3270,108631.052,,
1207.889,7.e+07,1.3e-02,E,25428.7893,108217.596,,
1208.230,5.e+06,1.2e-03,D,25805.3270,108571.060,,
1208.847,2.1e+07,3.1e-03,D,26055.4120,108778.889,,
1208.995,2.3e+07,4.1e-03,E,25805.3270,108518.643,,
1209.508,5.e+06,1.2e-03,D,25805.3270,108483.877,,
1209.930,6.e+06,1.2e-03,D,25981.6451,108631.052,,
1210.811,4.7e+06,1.3e-03,D,25981.6451,108571.060,,
1211.272,3.1e+07,5.e-03,E,25981.6451,108539.473,,
1211.986,7.e+06,1.4e-03,D,8391.9554,90901.130,,
1212.961,5.e+06,1.2e-03,D,7955.3186,90397.873,,
1213.090,3.7e+07,7.e-03,E,25805.3270,108239.375,,
1213.132,1.1e+07,3.0e-03,D,7955.3186,90386.533,,
