nu,a,elower,gp,gpp,statep,statepp,nu-err,nu-ref
2.540697,4.568e-12,31.596,72,72,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=4;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=4;K=2;rovibSym=E1,5,569
2.5407,7.343e-13,25.141,56,56,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=3;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=3;K=2;rovibSym=E1,5,569
2.540706,1.371e-10,60.647,120,120,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=7;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=7;K=2;rovibSym=E1,5,569
2.540935,2.721e-10,73.561,136,136,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=8;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=8;K=2;rovibSym=E1,5,569
2.54158,5.045e-11,772.717,408,424,ElecStateLabel=X;v12=1;J=25;K=2;rovibSym=E2,ElecStateLabel=X;v12=1;J=26;K=0;rovibSym=E1,5,569
2.54162,5.417e-10,88.091,152,152,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=9;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=9;K=2;rovibSym=E1,5,569
2.543241,1.006e-09,104.236,168,168,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=10;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=10;K=2;rovibSym=E1,5,569
2.543335,9.148e-07,114.923,184,168,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=11;K=1;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=10;K=2;rovibSym=A-,5,569
2.544115,3.888e-08,379.611,328,344,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=20;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=21;K=0;rovibSym=E1,5,569
2.546595,1.733e-09,121.997,184,184,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=11;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=11;K=2;rovibSym=E1,5,569
