obs_wl_vac(A)|Aki(s^-1)|Acc|Ei(cm-1)|Ek(cm-1)|conf_i|term_i|J_i|conf_k|term_k|J_k|Type|
9199.4465|1.96e+07|B+|80178.005|91048.225|3d6.(5D).5s|e 4D|3/2|3d6.(3P1).5p|4P*|3/2||
9204.0117|2.7e+07|C+|97507.414|108372.239|3d6.(3P2).5s|4P|5/2|3d6.(3P2).5p|4S*|3/2||
9205.5349|3.51e+06|B+|91167.936|102030.965|3d6.(5D).5p|w 6P*|7/2|3d6.(5D).6s|6D|7/2||
9205.7017|3.11e+07|B+|80346.060|91208.892|3d6.(5D).5s|e 4D|1/2|3d6.(5D).5p|4F*|3/2||
9206.6222|3.19e+07|B+|77861.650|88723.398|3d6.(5D).5s|e 6D|9/2|3d6.(5D).5p|6D*|9/2||
9207.1444|1.39e+07|B+|79439.496|90300.628|3d6.(5D).5s|e 4D|7/2|3d6.(5D).5p|6F*|7/2||
9213.4348|1.76e+07|B+|80346.060|91199.776|3d6.(5D).5s|e 4D|1/2|3d6.(5D).5p|4D*|1/2||
9224.5589|1.7e+07|E|99573.244|110413.870|3d6.(3F2).5s|f 4F|9/2|3d6.(3H).5p|2G*|7/2||
9232.155|8.e+04|D|94031.370|104863.080|3d5.(4D).4s.4p.(3P*)|6D*|1/2|3d6.(5D).5d|6P|3/2||
9239.3635|1.10e+07|C+|91843.485|102666.741|3d6.(5D).5p|w 6P*|3/2|3d6.(5D).6s|6D|1/2||
9242.4731|8.e+05|D+|91575.149|102394.764|3d6.(5D).5p|w 6P*|5/2|3d6.(5D).6s|4D|7/2||
9243.6632|8.e+05|E|99688.355|110506.577|3d6.(3F2).5s|f 4F|7/2|3d6.(3P2).5p|4D*|5/2||
9243.8204|2.0e+07|D+|98114.577|108932.616|3d6.(3P2).5s|4P|3/2|3d6.(3P2).5p|2D*|5/2||
9245.4281|7.0e+05|D+|91850.584|102666.741|3d5.(4D).4s.4p.(3P*)|6F*|1/2|3d6.(5D).6s|6D|1/2||
9247.293|4.0e+04|D|50142.811|60956.781|3d6.(3F1).4s|c 4F|5/2|3d6.(3H).4p|z 4G*|7/2||
9254.3257|2.60e+07|B+|78525.442|89331.199|3d6.(5D).5s|e 6D|5/2|3d6.(5D).5p|6D*|3/2||
9256.1251|2.5e+06|C+|92314.764|103118.421|3d6.(5D).5p|4P*|1/2|3d6.(5D).6s|4D|3/2||
9269.1169|1.2e+06|D+|92329.905|103118.421|3d5.(4G).4s.4p.(3P*)|v 4F*|5/2|3d6.(5D).6s|4D|3/2||
9273.798|1.8e+04|D|69102.427|79885.523|3d5.(6S).4s.4p.(3P*)|x 4P*|5/2|3d6.(5D).5s|e 4D|5/2||
9274.7867|5.7e+06|C+|78844.031|89625.951|3d6.(5D).5s|e 6D|1/2|3d5.(4P).4s.4p.(3P*)|6P*|3/2||
9275.7956|1.1e+07|E|99688.355|110469.101|3d6.(3F2).5s|f 4F|7/2|3d6.(3F2).5p|4D*|7/2||
9278.928|1.1e+05|D+|92225.549|103002.660|3d6.(5D).5p|4P*|3/2|3d6.(3P2).4d|4D|5/2||
9294.5514|5.5e+06|B+|91575.149|102334.140|3d6.(5D).5p|w 6P*|5/2|3d6.(5D).6s|6D|5/2||
9299.4708|1.34e+07|B+|79885.523|90638.823|3d6.(5D).5s|e 4D|5/2|3d6.(5D).5p|4D*|5/2||
9299.8404|3.0e+04|D|77861.650|88614.523|3d6.(5D).5s|e 6D|9/2|3d5.(4P).4s.4p.(3P*)|6D*|9/2||
9306.1778|2.82e+07|B+|78725.822|89471.372|3d6.(5D).5s|e 6D|3/2|3d6.(5D).5p|6D*|1/2||
9307.0815|1.0e+07|E|99824.051|110568.558|3d6.(3F2).5s|f 4F|5/2|3d6.(3F2).5p|4F*|5/2||
9307.261|1.9e+06|D+|79885.523|90629.811|3d6.(5D).5s|e 4D|5/2|3d6.(3P1).4p|4S*|3/2||
9317.9607|5.e+05|E|97507.414|108239.375|3d6.(3P2).5s|4P|5/2|3d5.(2F1).4s.4p.(3P*)|4D*|7/2||
9323.349|5.e+04|D|94031.370|104757.143|3d5.(4D).4s.4p.(3P*)|6D*|1/2|3d6.(5D).5d|6D|1/2||
9323.5621|3.0e+06|E|99688.355|110413.870|3d6.(3F2).5s|f 4F|7/2|3d6.(3H).5p|2G*|7/2||
9324.7620|3.3e+05|E|99921.670|110645.805|3d6.(3P2).5s|2P|1/2|3d6.(3F2).5p|4D*|3/2||
9325.6398|1.37e+06|C+|80178.005|90901.130|3d6.(5D).5s|e 4D|3/2|3d6.(5D).5p|4P*|5/2||
9327.5967|6.0e+06|C+|80178.005|90898.878|3d6.(5D).5s|e 4D|3/2|3d6.(5D).5p|4D*|3/2||
9329.5477|4.9e+06|B+|78725.822|89444.455|3d6.(5D).5s|e 6D|3/2|3d5.(4P).4s.4p.(3P*)|6P*|5/2||
9345.6154|5.8e+06|C+|91843.485|102543.689|3d6.(5D).5p|w 6P*|3/2|3d6.(5D).6s|6D|3/2||
9351.825|9.e+04|D+|91850.584|102543.689|3d5.(4D).4s.4p.(3P*)|6F*|1/2|3d6.(5D).6s|6D|3/2||
9351.9572|2.1e+06|E|98114.577|108807.527|3d6.(3P2).5s|4P|3/2|3d6.(3P2).5p|4P*|5/2||
