20  5   5582.01 9.24E-05 6.47E-03
20  8   6229.26 1.59E-02 6.75E-03
20  9   6339.67 8.18E-03 1.02E-02
20 11   9525.88 3.58E-03 1.29E-03
20 12   9795.16 3.88E-02 2.63E-02
20 13   9957.42 1.19E-02 1.06E-02
20 16  20066.96 9.03E-01 5.60E-02
20 19 190013.84 1.70E-02 5.79E-03
21  6   5413.34 2.13E-02 2.41E-01
21  7   5581.86 1.14E-03 7.95E-02
21 17  22237.66 9.77E-01 7.00E-02
22  1   4805.02 2.92E-05 3.98E-03
22  6   5280.26 1.10E-02 5.30E-03
22  7   5440.47 5.94E-03 7.11E-03
22  8   5563.96 4.50E-04 5.20E-03
22 14  13636.31 4.17E-01 1.69E-05
22 17  20151.24 4.17E-01 1.07E-01
22 18  22534.6  1.34E-01 3.30E-02
22 21 214778.06 1.47E-02 1.03E-02
23  2   4965.79 9.48E-04 3.60E-02
23  4   5086.52 3.28E-05 2.76E-03
23  6   5362.05 1.76E-04 3.30E-02
23  7   5527.34 7.66E-01 5.74E-02
23  8   5654.86 8.46E-02 5.32E-03
23  9   5745.7  3.94E-02 4.00E-03
23 10   7958.54 6.18E-04 1.24E-03
