 Malec Catalogue 2010 see vizier.
  120  L      8 R       0  1001.823741  0.000004 1    0.0267679000   1.2e+09   0.03475253
  121  L      8 R       1  1002.452009  0.000003 1    0.0182317000   1.2e+09   0.03407534
  122  L      8 R       2  1003.985377  0.000005 1    0.0166161000   1.2e+09   0.03250586
  123  L      8 R       3  1006.414053  0.000005 1    0.0157143000   1.2e+09   0.03004038
  124  L      8 R       4  1009.719690  0.000020 1    0.0141081000   1.2e+09   0.02664915
  125  L      8 R       5  1013.706500  0.001100 3    0.0011601300   1.2e+09   0.01243063
  126  L      8 R       6  1019.018900  0.001100 3    0.0204951000   1.1e+09   0.01766495
  127  L      9 P       1   992.809625  0.000004 1    0.0076988500   1.1e+09   0.03688977
  128  L      9 P       2   994.874026  0.000006 1    0.0086591800   1.1e+09   0.03488711
  129  L      9 P       3   997.827121  0.000003 1    0.0087609500   1.1e+09   0.03202454
  130  L      9 P       4  1001.655682  0.000005 1    0.0086911600   1.1e+09   0.02834180
  131  L      9 P       5  1006.343184  0.000003 1    0.0086334100   1.1e+09   0.02388888
  132  L      9 P       6  1011.870513  0.000050 1    0.0086450300   1.1e+09   0.01872364
  133  L      9 P       7  1028.411400  0.001100 3    0.0087586100   1.1e+09   0.01290853
  134  L      9 R       0   991.378851  0.000005 1    0.0261242000   1.1e+09   0.03821743
  135  L      9 R       1   992.016320  0.000002 1    0.0182598000   1.1e+09   0.03752654
  136  L      9 R       2   993.550563  0.000005 1    0.0170432000   1.1e+09   0.03594442
  137  L      9 R       3   995.972783  0.000003 1    0.0166863000   1.1e+09   0.03349627
  138  L      9 R       4   999.270807  0.000005 1    0.0165603000   1.1e+09   0.03021901
  139  L      9 R       5  1003.428400  0.001100 3    0.0164978000   1.1e+09   0.02615952
  140  L      9 R       6  1008.428900  0.001100 3    0.0164072000   1.1e+09   0.02137208
  141  L     10 P       1   982.835296  0.000005 1    0.0068112000   1.1e+09   0.04004930
  142  L     10 P       2   984.864026  0.000007 1    0.0081708500   1.1e+09   0.03806275
  143  L     10 P       3   987.768823  0.000004 1    0.0089279300   1.1e+09   0.03515959
  144  L     10 P       4   991.533853  0.000006 1    0.0099195700   1.1e+09   0.03138155
  145  L     10 P       5   996.124697  0.000006 1    0.0127433000   1.1e+09   0.02610094
  146  L     10 P       6  1001.911700  0.001100 3    0.0002628270   1.1e+09   0.00917942
  147  L     10 P       7  1017.976500  0.001100 3    0.0037399300   1.0e+09   0.01492525
  148  L     10 R       0   981.438709  0.000007 1    0.0206903000   1.1e+09   0.04134865
  149  L     10 R       1   982.074245  0.000004 1    0.0136447000   1.1e+09   0.04058840
  150  L     10 R       2   983.591063  0.000005 1    0.0115741000   1.1e+09   0.03888367
  151  L     10 R       3   985.962767  0.000006 1    0.0082765500   1.1e+09   0.03558931
  152  L     10 R       4   989.557270  0.000980 3    0.0310766000   1.1e+09   0.02068108
  153  L     10 R       5   993.491920  0.000990 3    0.0201634000   1.0e+09   0.02801621
  154  L     10 R       6   998.428330  0.001000 3    0.0178819000   1.0e+09   0.02399851
  155  L     11 P       1   973.344571  0.000006 1    0.0058991200   1.0e+09   0.04289516
  156  L     11 P       2   975.345771  0.000008 1    0.0066437000   1.0e+09   0.04092386
  157  L     11 P       3   978.218030  0.000003 1    0.0067353900   1.0e+09   0.03809495
  158  L     11 P       4   981.948441  0.000003 1    0.0067076700   1.0e+09   0.03444786
  159  L     11 P       5   986.520717  0.000004 1    0.0067149200   1.0e+09   0.03003235
  160  L     11 P       6   991.915746  0.000017 1    0.0068309200   1.0e+09   0.02490619
  161  L     11 P       7   998.111832  0.000073 2b   0.0071295300   1.0e+09   0.01913197
  162  L     11 R       0   971.986230  0.000008 1    0.0200430000   1.0e+09   0.04416825
  163  L     11 R       1   972.632731  0.000003 1    0.0140478000   1.0e+09   0.04345479
  164  L     11 R       2   974.157875  0.000002 1    0.0131537000   1.0e+09   0.04185365
  165  L     11 R       3   976.552811  0.000004 1    0.0128986000   1.0e+09   0.03939034
  166  L     11 R       4   979.805090  0.000020 1    0.0127815000   1.0e+09   0.03610218
  167  L     11 R       5   983.898956  0.000068 2a   0.0126202000   1.0e+09   0.03203650
  168  L     11 R       6   988.813510  0.000980 3    0.0122149000   1.0e+09   0.02724831
  169  L     12 P       1   964.310524  0.000006 1    0.0050280200   9.8e+08   0.04544644
  170  L     12 P       2   966.275434  0.000009 1    0.0064963500   9.8e+08   0.04340505
  171  L     12 P       3   969.089768  0.000004 1    0.0081600300   9.8e+08   0.04022253
  172  L     12 P       4   972.690640  0.000030 1    0.0135586000   1.0e+09   0.03305977
  173  L     12 P       5   977.463601  0.000005 1    0.0003640050   9.9e+08   0.02751866
  174  L     12 P       6   982.726751  0.000011 1    0.0025739200   9.7e+08   0.02634450
  175  L     12 P       7   988.838329  0.000091 2b   0.0035801400   9.6e+08   0.02121293
  176  L     12 R       0   962.977981  0.000008 1    0.0131586000   9.8e+08   0.04661091
  177  L     12 R       1   963.607928  0.000003 1    0.0070739700   9.8e+08   0.04552063
  178  L     12 R       2   965.045710  0.000030 1    0.0015829200   1.0e+09   0.04040726
  179  L     12 R       3   967.676976  0.000005 1    0.0227601000   9.9e+08   0.03681687
  180  L     12 R       4   970.838045  0.000010 1    0.0160389000   9.7e+08   0.03742072
