H2j3 W4-0R3     931.80883 1.079e-02 1.08e+09 
H2j3 L17-0P3    929.68893 2.508e-03 3.17e+08 
H2j3 L17-0R3    928.43821 3.306e-03 3.21e+08 
H2j3 L18-0P3    922.89439 1.624e-03 3.06e+08 
H2j3 L18-0R3    921.73069 4.078e-03 3.00e+08 
H2j3 W5-0P3     919.54167 4.337e-03 1.08e+09 
H2j3 W5-0Q3     918.42874 1.303e-02 1.09e+09 
H2j3 W5-0R3     916.87451 8.556e-03 1.04e+09 
H2j3 L19-0P3    916.38231 1.825e-03 2.77e+08 
H2j3 L19-0R3    915.21235 1.350e-03 3.09e+08 
H2j3 L20-0P3    910.20914 1.171e-03 2.65e+08 
H2j3 L20-0R3    909.14909 2.533e-03 2.67e+08 
H2j3 W6-0P3     905.85413 2.504e-03 1.06e+09 
H2j3 W6-0Q3     904.82965 8.543e-03 1.08e+09 
H2j3 L21-0P3    904.28374 1.454e-03 2.65e+08 
H2j3 W6-0R3     903.65681 6.595e-03 7.00e+08 
H2j3 L21-0R3    903.00825 1.650e-04 6.16e+08 
H2j3 L22-0P3    898.68689 8.268e-04 2.37e+08 
H2j3 L22-0R3    897.71958 1.569e-03 2.38e+08 
H2j3 W7-0P3     893.68148 6.970e-04 8.91e+08 
H2j3 L23-0P3    893.24187 1.828e-03 3.98e+08 
H2j3 W7-0Q3     892.68450 5.519e-03 1.07e+09 
H2j3 L23-0R3    892.49568 2.472e-03 2.78e+08 
H2j3 W7-0R3     891.29801 2.098e-03 9.95e+08 
H2j3 L24-0P3    888.23625 5.838e-04 2.06e+08 
H2j3 L24-0R3    887.35349 9.592e-04 2.07e+08 
H2j3 L25-0P3    883.43312 1.755e-04 2.37e+08 
H2j3 W8-0P3     882.70532 1.452e-03 9.73e+08 
H2j3 L25-0R3    882.60428 1.294e-03 2.06e+08 
H2j3 W8-0Q3     881.92871 3.568e-03 1.01e+09 
H2j3 W8-0R3     880.73291 1.794e-03 9.77e+08 
H2j3 L26-0P3    878.79594 4.135e-04 1.75e+08 
H2j3 L26-0R3    877.99118 5.765e-04 1.80e+08 
H2j3 L27-0P3    874.46481 2.129e-04 1.73e+08 
H2j3 L27-0R3    873.72521 7.843e-04 1.68e+08 
H2j3 W9-0P3     873.23653 8.411e-04 9.80e+08 
H2j3 W9-0Q3     872.52992 2.306e-03 9.96e+08 
H2j3 W9-0R3     871.49607 1.310e-03 9.14e+08 
H2j3 L28-0P3    870.33823 2.920e-04 1.51e+08 
H2j3 L28-0R3    869.61165 3.367e-04 1.66e+08 
H2j3 L29-0P3    866.50112 1.648e-04 1.43e+08 
H2j3 L29-0R3    865.84539 5.029e-04 1.47e+08 
H2j3 W10-0P3    865.11402 5.209e-04 6.33e+08 
H2j3 W10-0Q3    864.49581 1.501e-03 6.02e+08 
H2j3 W10-0R3    863.61506 9.086e-04 5.90e+08 
H2j3 L30-0P3    862.89794 2.033e-04 1.29e+08 
H2j3 L30-0R3    862.25732 2.021e-04 1.36e+08 
H2j3 L31-0P3    859.61491 1.139e-04 1.21e+08 
H2j3 L31-0R3    859.05443 3.286e-04 1.20e+08 
H2j3 W11-0P3    858.39916 3.298e-04 6.00e+08 
H2j3 W11-0Q3    857.88059 9.555e-04 5.91e+08 
H2j3 W11-0R3    857.15187 5.891e-04 4.20e+08 
H2j3 L32-0P3    856.63407 1.336e-04 1.04e+08 
H2j3 L32-0R3    856.10677 1.267e-04 1.11e+08 
H2j3 L33-0P3    854.07337 6.827e-05 8.98e+07 
H2j3 L33-0R3    853.64394 1.995e-04 8.78e+07 
H2j3 W12-0P3    853.21830 1.809e-04 4.29e+08 
H2j3 W12-0Q3    852.81446 5.768e-04 4.75e+08 
H2j3 W12-0R3    852.26222 3.906e-04 3.45e+08 
H2j3 L34-0P3    852.00023 7.260e-05 6.66e+07 
H2j3 L34-0R3    851.64831 6.333e-05 7.16e+07 
H2j3 L35-0P3    850.62758 3.006e-05 3.67e+07 
H2j3 L35-0R3    850.43010 5.590e-05 3.06e+07 
H2j3 L36-0P3    850.07442 1.269e-05 1.25e+07 
H2j3 L36-0R3    849.99638 1.783e-05 8.11e+06 
H2j3 L37-0P3    849.90247 2.351e-06 1.82e+07 
H2j3 L37-0R3    849.84685 6.167e-06 5.34e+06 
